"","condition","condition_subtype","group","IC50"
"1354","BD55-958",NA,"D1",NA
"1355","BD55-965",NA,"C",NA
"1356","BD55-97",NA,"C",NA
"1357","BD55-970",NA,"D1",NA
"1358","BD55-972",NA,"E2.1",NA
"1359","BD55-977",NA,"D1",NA
"1360","BD55-979",NA,"E2.2",NA
"1361","BD55-987",NA,"C",NA
"1362","BD55-988",NA,"D1",NA
"1363","BD55-998",NA,"E2.2",NA
"1364","BD56-001",NA,"A",NA
"1365","BD56-003",NA,"B",NA
"1366","BD56-004",NA,"F2",NA
"1367","BD56-005",NA,"B",NA
"1368","BD56-006",NA,"A",NA
"1369","BD56-007",NA,"E2.1",NA
"1370","BD56-008",NA,"F3",NA
"1371","BD56-010",NA,"D1",NA
"1372","BD56-012",NA,"D1",NA
"1373","BD56-013",NA,"F2",NA
"1374","BD56-014",NA,"E2.1",NA
"1375","BD56-015",NA,"A",NA
"1376","BD56-016",NA,"D1",NA
"1377","BD56-019",NA,"F2",NA
"1378","BD56-020",NA,"F2",NA
"1379","BD56-021",NA,"D2",NA
"1380","BD56-022",NA,"D1",NA
"1381","BD56-025",NA,"E2.1",NA
"1382","BD56-027",NA,"D1",NA
"1383","BD56-028",NA,"D1",NA
"1384","BD56-029",NA,"F2",NA
"1385","BD56-030",NA,"F2",NA
"1386","BD56-031",NA,"D1",NA
"1387","BD56-032",NA,"D1",NA
"1388","BD56-033",NA,"F1",NA
"1389","BD56-037",NA,"F2",NA
"1390","BD56-038",NA,"F2",NA
"1391","BD56-039",NA,"F1",NA
"1392","BD56-040",NA,"E1",NA
"1393","BD56-041",NA,"F1",NA
"1394","BD56-042",NA,"F2",NA
"1395","BD56-045",NA,"E2.1",NA
"1396","BD56-046",NA,"F2",NA
"1397","BD56-048",NA,"E2.1",NA
"1398","BD56-049",NA,"B",NA
"1399","BD56-050",NA,"F2",NA
"1400","BD56-052",NA,"F1",NA
"1401","BD56-054",NA,"E2.1",NA
"1402","BD56-055",NA,"E2.1",NA
"1403","BD56-056",NA,"F1",NA
"1404","BD56-057",NA,"F1",NA
"1405","BD56-058",NA,"E2.1",NA
"1406","BD56-059",NA,"C",NA
"1407","BD56-063",NA,"F1",NA
"1408","BD56-064",NA,"E2.1",NA
"1409","BD56-065",NA,"E2.1",NA
"1410","BD56-066",NA,"E2.1",NA
"1411","BD56-068",NA,"E2.1",NA
"1412","BD56-069",NA,"E2.1",NA
"1413","BD56-070",NA,"E2.1",NA
"1414","BD56-071",NA,"E1",NA
"1415","BD56-073",NA,"F1",NA
"1416","BD56-074",NA,"E2.1",NA
"1417","BD56-075",NA,"F1",NA
"1418","BD56-076",NA,"D1",NA
"1419","BD56-077",NA,"D1",NA
"1420","BD56-078",NA,"D1",NA
"1421","BD56-079",NA,"E2.1",NA
"1422","BD56-080",NA,"E2.2",NA
"1423","BD56-081",NA,"F1",NA
"1424","BD56-082",NA,"F1",NA
"1425","BD56-083",NA,"E2.2",NA
"1426","BD56-085",NA,"E1",NA
"1427","BD56-086",NA,"F1",NA
"1428","BD56-087",NA,"E2.1",NA
"1429","BD56-088",NA,"F1",NA
"1430","BD56-089",NA,"E2.2",NA
"1431","BD56-090",NA,"E2.1",NA
"1432","BD56-091",NA,"F3",NA
"1433","BD56-092",NA,"E2.2",NA
"1434","BD56-094",NA,"F2",NA
"1435","BD56-096",NA,"E2.2",NA
"1436","BD56-097",NA,"F1",NA
"1437","BD56-098",NA,"D1",NA
"1438","BD56-099",NA,"D1",NA
"1439","BD56-100",NA,"E2.2",NA
"1440","BD56-101",NA,"F1",NA
"1441","BD56-102",NA,"F1",NA
"1442","BD56-103",NA,"F1",NA
"1443","BD56-1038",NA,"E2.2",NA
"1444","BD56-104",NA,"E2.2",NA
"1445","BD56-105",NA,"F1",NA
"1446","BD56-1057",NA,"E3",NA
"1447","BD56-106",NA,"E2.2",NA
"1448","BD56-1061",NA,"E3",NA
"1449","BD56-1064",NA,"E3",NA
"1450","BD56-1067",NA,"E3",NA
"1451","BD56-107",NA,"F1",NA
"1452","BD56-1076",NA,"E3",NA
"1453","BD56-108",NA,"D1",NA
"1454","BD56-109",NA,"F1",NA
"1455","BD56-1091",NA,"E3",NA
"1456","BD56-1092",NA,"E3",NA
"1457","BD56-1093",NA,"E3",NA
"1458","BD56-1097",NA,"E2.2",NA
"1459","BD56-110",NA,"F1",NA
"1460","BD56-111",NA,"F1",NA
"1461","BD56-112",NA,"E2.1",NA
"1462","BD56-113",NA,"E2.2",NA
"1463","BD56-114",NA,"E2.2",NA
"1464","BD56-115",NA,"E2.2",NA
"1465","BD56-116",NA,"F1",NA
"1466","BD56-117",NA,"F1",NA
"1467","BD56-118",NA,"E2.1",NA
"1468","BD56-1180",NA,"D1",NA
"1469","BD56-1181",NA,"C",NA
"1470","BD56-119",NA,"E2.2",NA
"1471","BD56-1192",NA,"D2",NA
"1472","BD56-1198",NA,"C",NA
"1473","BD56-120",NA,"F1",NA
"1474","BD56-121",NA,"E2.2",NA
"1475","BD56-1211",NA,"E3",NA
"1476","BD56-1219",NA,"E2.2",NA
"1477","BD56-122",NA,"E3",NA
"1478","BD56-1220",NA,"E3",NA
"1479","BD56-1221",NA,"F2",NA
"1480","BD56-1222",NA,"E2.2",NA
"1481","BD56-1223",NA,"C",NA
"1482","BD56-1225",NA,"E3",NA
"1483","BD56-1226",NA,"E3",NA
"1484","BD56-1228",NA,"E2.2",NA
"1485","BD56-1229",NA,"E3",NA
"1486","BD56-123",NA,"E2.2",NA
"1487","BD56-1230",NA,"C",NA
"1488","BD56-1231",NA,"C",NA
"1489","BD56-1232",NA,"E3",NA
"1490","BD56-1233",NA,"E3",NA
"1491","BD56-1234",NA,"E2.2",NA
"1492","BD56-1235",NA,"C",NA
"1493","BD56-124",NA,"E2.2",NA
"1494","BD56-1243",NA,"C",NA
"1495","BD56-1244",NA,"E2.1",NA
"1496","BD56-1245",NA,"E2.2",NA
"1497","BD56-1246",NA,"F1",NA
"1498","BD56-1247",NA,"F3",NA
"1499","BD56-1248",NA,"E2.2",NA
"1500","BD56-1249",NA,"C",NA
"1501","BD56-125",NA,"E2.2",NA
"1502","BD56-1250",NA,"C",NA
"1503","BD56-1251",NA,"E2.2",NA
"1504","BD56-1252",NA,"F1",NA
"1505","BD56-1253",NA,"F2",NA
"1506","BD56-1254",NA,"D1",NA
"1507","BD56-1255",NA,"E2.1",NA
"1508","BD56-1256",NA,"D1",NA
"1509","BD56-1257",NA,"C",NA
"1510","BD56-1258",NA,"E2.1",NA
"1511","BD56-1259",NA,"F3",NA
"1512","BD56-126",NA,"F1",NA
"1513","BD56-1260",NA,"E2.2",NA
"1514","BD56-1261",NA,"D2",NA
"1515","BD56-1262",NA,"C",NA
"1516","BD56-1263",NA,"E2.1",NA
"1517","BD56-1264",NA,"E2.2",NA
"1518","BD56-1265",NA,"C",NA
"1519","BD56-1266",NA,"E2.2",NA
"1520","BD56-1267",NA,"F3",NA
"1521","BD56-1268",NA,"D1",NA
"1522","BD56-1269",NA,"E2.2",NA
"1523","BD56-127",NA,"E2.2",NA
"1524","BD56-1270",NA,"E2.2",NA
"1525","BD56-1271",NA,"E2.1",NA
"1526","BD56-1272",NA,"F1",NA
"1527","BD56-1273",NA,"C",NA
"1528","BD56-1274",NA,"E2.1",NA
"1529","BD56-1275",NA,"E2.2",NA
"1530","BD56-1276",NA,"F1",NA
"1531","BD56-1277",NA,"D1",NA
"1532","BD56-1279",NA,"E2.1",NA
"1533","BD56-128",NA,"E2.2",NA
"1534","BD56-1280",NA,"E2.1",NA
"1535","BD56-1281",NA,"F2",NA
"1536","BD56-1282",NA,"C",NA
"1537","BD56-1283",NA,"F1",NA
"1538","BD56-1284",NA,"A",NA
"1539","BD56-1285",NA,"E2.2",NA
"1540","BD56-1286",NA,"D1",NA
"1541","BD56-1287",NA,"B",NA
"1542","BD56-1288",NA,"F3",NA
"1543","BD56-1289",NA,"F3",NA
"1544","BD56-129",NA,"E2.2",NA
"1545","BD56-1290",NA,"D2",NA
"1546","BD56-1291",NA,"E2.2",NA
"1547","BD56-1292",NA,"E3",NA
"1548","BD56-1293",NA,"F1",NA
"1549","BD56-1294",NA,"E3",NA
"1550","BD56-1295",NA,"E1",NA
"1551","BD56-1296",NA,"E2.2",NA
"1552","BD56-1297",NA,"C",NA
"1553","BD56-1298",NA,"F1",NA
"1554","BD56-1299",NA,"F1",NA
"1555","BD56-130",NA,"F1",NA
"1556","BD56-1300",NA,"F1",NA
"1557","BD56-1301",NA,"B",NA
"1558","BD56-1302",NA,"E2.2",NA
"1559","BD56-1303",NA,"D1",NA
"1560","BD56-1304",NA,"F1",NA
"1561","BD56-1305",NA,"E1",NA
"1562","BD56-1306",NA,"E3",NA
"1563","BD56-1307",NA,"E2.2",NA
"1564","BD56-1308",NA,"E3",NA
"1565","BD56-1309",NA,"B",NA
"1566","BD56-131",NA,"E3",NA
"1567","BD56-1310",NA,"E2.2",NA
"1568","BD56-1311",NA,"F1",NA
"1569","BD56-1312",NA,"F1",NA
"1570","BD56-1313",NA,"E3",NA
"1571","BD56-1314",NA,"F1",NA
"1572","BD56-1315",NA,"E2.2",NA
"1573","BD56-1316",NA,"E3",NA
"1574","BD56-1317",NA,"E2.1",NA
"1575","BD56-1318",NA,"E2.2",NA
"1576","BD56-1319",NA,"C",NA
"1577","BD56-132",NA,"D1",NA
"1578","BD56-1320",NA,"F2",NA
"1579","BD56-1321",NA,"E3",NA
"1580","BD56-1322",NA,"E2.1",NA
"1581","BD56-1323",NA,"E2.2",NA
"1582","BD56-1324",NA,"E2.1",NA
"1583","BD56-1325",NA,"F1",NA
"1584","BD56-1326",NA,"E2.2",NA
"1585","BD56-1327",NA,"C",NA
"1586","BD56-1328",NA,"C",NA
"1587","BD56-1329",NA,"F1",NA
"1588","BD56-133",NA,"B",NA
"1589","BD56-1330",NA,"E3",NA
"1590","BD56-1331",NA,"F1",NA
"1591","BD56-1332",NA,"E3",NA
"1592","BD56-1333",NA,"A",NA
"1593","BD56-1334",NA,"E2.2",NA
"1594","BD56-1335",NA,"E2.2",NA
"1595","BD56-1336",NA,"E2.2",NA
"1596","BD56-1337",NA,"E2.2",NA
"1597","BD56-1338",NA,"F1",NA
"1598","BD56-134",NA,"E3",NA
"1599","BD56-1340",NA,"E3",NA
"1600","BD56-1341",NA,"E2.1",NA
"1601","BD56-1342",NA,"E2.2",NA
"1602","BD56-1343",NA,"F1",NA
"1603","BD56-1344",NA,"E3",NA
"1604","BD56-1354",NA,"A",NA
"1605","BD56-136",NA,"E2.2",NA
"1606","BD56-137",NA,"E2.2",NA
"1607","BD56-138",NA,"E2.2",NA
"1608","BD56-1382",NA,"A",NA
"1609","BD56-139",NA,"F1",NA
"1610","BD56-1390",NA,"A",NA
"1611","BD56-1391",NA,"B",NA
"1612","BD56-1392",NA,"E3",NA
"1613","BD56-1393",NA,"C",NA
"1614","BD56-1397",NA,"E2.2",NA
"1615","BD56-1398",NA,"E3",NA
"1616","BD56-1399",NA,"E3",NA
"1617","BD56-140",NA,"E2.2",NA
"1618","BD56-1400",NA,"E3",NA
"1619","BD56-1401",NA,"E3",NA
"1620","BD56-1402",NA,"E3",NA
"1621","BD56-1403",NA,"C",NA
"1622","BD56-1404",NA,"E3",NA
"1623","BD56-1405",NA,"E3",NA
"1624","BD56-1408",NA,"E3",NA
"1625","BD56-1409",NA,"E3",NA
"1626","BD56-141",NA,"E3",NA
"1627","BD56-1410",NA,"E2.2",NA
"1628","BD56-1412",NA,"E3",NA
"1629","BD56-1413",NA,"E3",NA
"1630","BD56-1414",NA,"E2.2",NA
"1631","BD56-1415",NA,"E2.2",NA
"1632","BD56-1416",NA,"E2.2",NA
"1633","BD56-1417",NA,"D1",NA
"1634","BD56-1418",NA,"E2.2",NA
"1635","BD56-1419",NA,"E3",NA
"1636","BD56-142",NA,"F1",NA
"1637","BD56-1420",NA,"D1",NA
"1638","BD56-1421",NA,"E2.2",NA
"1639","BD56-1422",NA,"D1",NA
"1640","BD56-1423",NA,"E2.2",NA
"1641","BD56-1424",NA,"E2.2",NA
"1642","BD56-1426",NA,"E2.2",NA
"1643","BD56-1427",NA,"E2.2",NA
"1644","BD56-1428",NA,"C",NA
"1645","BD56-1429",NA,"A",NA
"1646","BD56-143",NA,"E2.2",NA
"1647","BD56-1430",NA,"A",NA
"1648","BD56-1431",NA,"E2.2",NA
"1649","BD56-1432",NA,"E2.2",NA
"1650","BD56-1433",NA,"D1",NA
"1651","BD56-1434",NA,"E2.2",NA
"1652","BD56-1435",NA,"E2.2",NA
"1653","BD56-1436",NA,"F1",NA
"1654","BD56-1437",NA,"F1",NA
"1655","BD56-1438",NA,"E2.2",NA
"1656","BD56-1439",NA,"B",NA
"1657","BD56-144",NA,"E2.2",NA
"1658","BD56-1440",NA,"F1",NA
"1659","BD56-1441",NA,"F1",NA
"1660","BD56-1442",NA,"F2",NA
"1661","BD56-1443",NA,"E2.1",NA
"1662","BD56-1444",NA,"F1",NA
"1663","BD56-1445",NA,"F2",NA
"1664","BD56-1446",NA,"B",NA
"1665","BD56-1447",NA,"D1",NA
"1666","BD56-1448",NA,"D1",NA
"1667","BD56-145",NA,"E3",NA
"1668","BD56-1450",NA,"E2.1",NA
"1669","BD56-1451",NA,"C",NA
"1670","BD56-1452",NA,"B",NA
"1671","BD56-1453",NA,"D1",NA
"1672","BD56-1455",NA,"F1",NA
"1673","BD56-1456",NA,"E2.2",NA
"1674","BD56-1457",NA,"E1",NA
"1675","BD56-1458",NA,"E2.1",NA
"1676","BD56-1459",NA,"B",NA
"1677","BD56-146",NA,"E2.1",NA
"1678","BD56-1460",NA,"C",NA
"1679","BD56-1461",NA,"C",NA
"1680","BD56-1462",NA,"E2.2",NA
"1681","BD56-1463",NA,"C",NA
"1682","BD56-1464",NA,"F2",NA
"1683","BD56-1466",NA,"E2.1",NA
"1684","BD56-1467",NA,"F2",NA
"1685","BD56-1468",NA,"E2.1",NA
"1686","BD56-1469",NA,"B",NA
"1687","BD56-147",NA,"B",NA
"1688","BD56-1470",NA,"E1",NA
"1689","BD56-1471",NA,"D1",NA
"1690","BD56-1472",NA,"B",NA
"1691","BD56-1473",NA,"E2.1",NA
"1692","BD56-1474",NA,"D1",NA
"1693","BD56-1475",NA,"A",NA
"1694","BD56-1476",NA,"A",NA
"1695","BD56-1477",NA,"D1",NA
"1696","BD56-1478",NA,"B",NA
"1697","BD56-1479",NA,"E1",NA
"1698","BD56-148",NA,"E2.2",NA
"1699","BD56-1480",NA,"A",NA
"1700","BD56-1481",NA,"C",NA
"1701","BD56-1482",NA,"A",NA
"1702","BD56-1485",NA,"D1",NA
"1703","BD56-1486",NA,"D1",NA
"1704","BD56-1489",NA,"E3",NA
"1705","BD56-149",NA,"E2.2",NA
"1706","BD56-1493",NA,"E3",NA
"1707","BD56-150",NA,"E2.2",NA
"1708","BD56-151",NA,"E2.2",NA
"1709","BD56-1515",NA,"E2.2",NA
"1710","BD56-1516",NA,"E2.2",NA
"1711","BD56-1517",NA,"E2.1",NA
"1712","BD56-1518",NA,"A",NA
"1713","BD56-1519",NA,"F1",NA
"1714","BD56-152",NA,"E2.1",NA
"1715","BD56-1520",NA,"B",NA
"1716","BD56-1521",NA,"E2.1",NA
"1717","BD56-1524",NA,"F2",NA
"1718","BD56-1526",NA,"D2",NA
"1719","BD56-1527",NA,"E3",NA
"1720","BD56-1529",NA,"E3",NA
"1721","BD56-153",NA,"E2.2",NA
"1722","BD56-1530",NA,"E3",NA
"1723","BD56-1531",NA,"E3",NA
"1724","BD56-1532",NA,"E3",NA
"1725","BD56-1533",NA,"E3",NA
"1726","BD56-1534",NA,"E3",NA
"1727","BD56-1535",NA,"E3",NA
"1728","BD56-1537",NA,"E3",NA
"1729","BD56-1538",NA,"E3",NA
"1730","BD56-1539",NA,"E3",NA
"1731","BD56-154",NA,"E3",NA
"1732","BD56-1540",NA,"E3",NA
"1733","BD56-1541",NA,"E3",NA
"1734","BD56-1542",NA,"E3",NA
"1735","BD56-1543",NA,"E2.2",NA
"1736","BD56-1544",NA,"E3",NA
"1737","BD56-1545",NA,"E3",NA
"1738","BD56-1546",NA,"E2.1",NA
"1739","BD56-1547",NA,"E3",NA
"1740","BD56-1548",NA,"E3",NA
"1741","BD56-1549",NA,"E3",NA
"1742","BD56-155",NA,"E2.2",NA
"1743","BD56-1551",NA,"E3",NA
"1744","BD56-1552",NA,"A",NA
"1745","BD56-1553",NA,"E3",NA
"1746","BD56-1554",NA,"E3",NA
"1747","BD56-1555",NA,"E2.2",NA
"1748","BD56-1556",NA,"E3",NA
"1749","BD56-1557",NA,"E3",NA
"1750","BD56-1559",NA,"E3",NA
"1751","BD56-156",NA,"F1",NA
"1752","BD56-1560",NA,"E3",NA
"1753","BD56-1562",NA,"E3",NA
"1754","BD56-1565",NA,"E3",NA
"1755","BD56-1566",NA,"E3",NA
"1756","BD56-1567",NA,"E3",NA
"1757","BD56-1568",NA,"E3",NA
"1758","BD56-1569",NA,"E2.2",NA
"1759","BD56-157",NA,"E2.2",NA
"1760","BD56-1570",NA,"E3",NA
"1761","BD56-1572",NA,"E3",NA
"1762","BD56-1573",NA,"D1",NA
"1763","BD56-1574",NA,"E3",NA
"1764","BD56-1576",NA,"E3",NA
"1765","BD56-1577",NA,"E2.2",NA
"1766","BD56-1578",NA,"E3",NA
"1767","BD56-1579",NA,"F2",NA
"1768","BD56-158",NA,"E2.2",NA
"1769","BD56-1581",NA,"E3",NA
"1770","BD56-1583",NA,"E3",NA
"1771","BD56-1585",NA,"A",NA
"1772","BD56-1586",NA,"E3",NA
"1773","BD56-1587",NA,"E3",NA
"1774","BD56-159",NA,"E2.2",NA
"1775","BD56-1590",NA,"E3",NA
"1776","BD56-1591",NA,"E3",NA
"1777","BD56-1592",NA,"E2.2",NA
"1778","BD56-1593",NA,"E3",NA
"1779","BD56-1594",NA,"E2.2",NA
"1780","BD56-1595",NA,"E3",NA
"1781","BD56-1596",NA,"E2.2",NA
"1782","BD56-1598",NA,"D1",NA
"1783","BD56-1599",NA,"E3",NA
"1784","BD56-160",NA,"E3",NA
"1785","BD56-1600",NA,"E3",NA
"1786","BD56-1601",NA,"E3",NA
"1787","BD56-1603",NA,"E3",NA
"1788","BD56-1604",NA,"E2.2",NA
"1789","BD56-1605",NA,"E2.2",NA
"1790","BD56-1606",NA,"E2.2",NA
"1791","BD56-1607",NA,"E3",NA
"1792","BD56-1608",NA,"E2.2",NA
"1793","BD56-1609",NA,"B",NA
"1794","BD56-161",NA,"E2.2",NA
"1795","BD56-1610",NA,"F1",NA
"1796","BD56-1611",NA,"F1",NA
"1797","BD56-1612",NA,"D1",NA
"1798","BD56-1613",NA,"E3",NA
"1799","BD56-1614",NA,"E2.2",NA
"1800","BD56-1615",NA,"E2.2",NA
"1801","BD56-1616",NA,"C",NA
"1802","BD56-1617",NA,"E2.2",NA
"1803","BD56-1618",NA,"C",NA
"1804","BD56-1619",NA,"F1",NA
"1805","BD56-1620",NA,"E2.1",NA
"1806","BD56-1621",NA,"E3",NA
"1807","BD56-1623",NA,"E3",NA
"1808","BD56-1624",NA,"F1",NA
"1809","BD56-1625",NA,"E2.2",NA
"1810","BD56-1626",NA,"E2.2",NA
"1811","BD56-1629",NA,"E3",NA
"1812","BD56-163",NA,"E2.2",NA
"1813","BD56-1630",NA,"E3",NA
"1814","BD56-1631",NA,"B",NA
"1815","BD56-1632",NA,"E2.2",NA
"1816","BD56-1633",NA,"E3",NA
"1817","BD56-1635",NA,"E3",NA
"1818","BD56-1636",NA,"F1",NA
"1819","BD56-1637",NA,"E2.2",NA
"1820","BD56-1638",NA,"E2.2",NA
"1821","BD56-1639",NA,"E3",NA
"1822","BD56-164",NA,"E3",NA
"1823","BD56-1640",NA,"E2.2",NA
"1824","BD56-1641",NA,"E2.2",NA
"1825","BD56-1642",NA,"E2.2",NA
"1826","BD56-1643",NA,"E2.2",NA
"1827","BD56-1645",NA,"E3",NA
"1828","BD56-1646",NA,"E2.2",NA
"1829","BD56-1647",NA,"E3",NA
"1830","BD56-1648",NA,"E2.1",NA
"1831","BD56-165",NA,"E2.2",NA
"1832","BD56-1650",NA,"E2.2",NA
"1833","BD56-1651",NA,"C",NA
"1834","BD56-1652",NA,"E2.1",NA
"1835","BD56-1653",NA,"F1",NA
"1836","BD56-1655",NA,"E3",NA
"1837","BD56-1656",NA,"E2.2",NA
"1838","BD56-1657",NA,"E2.1",NA
"1839","BD56-1658",NA,"E2.2",NA
"1840","BD56-1659",NA,"F2",NA
"1841","BD56-166",NA,"E2.2",NA
"1842","BD56-1660",NA,"E2.2",NA
"1843","BD56-1661",NA,"E2.1",NA
"1844","BD56-1662",NA,"B",NA
"1845","BD56-1663",NA,"E2.2",NA
"1846","BD56-1664",NA,"F1",NA
"1847","BD56-1666",NA,"F1",NA
"1848","BD56-1667",NA,"E2.2",NA
"1849","BD56-1668",NA,"E2.2",NA
"1850","BD56-1669",NA,"E2.2",NA
"1851","BD56-167",NA,"E2.2",NA
"1852","BD56-1671",NA,"F1",NA
"1853","BD56-1672",NA,"F1",NA
"1854","BD56-1673",NA,"E2.2",NA
"1855","BD56-1674",NA,"E3",NA
"1856","BD56-1675",NA,"E2.2",NA
"1857","BD56-1676",NA,"E2.2",NA
"1858","BD56-1679",NA,"B",NA
"1859","BD56-168",NA,"E2.2",NA
"1860","BD56-1680",NA,"E2.1",NA
"1861","BD56-1681",NA,"F1",NA
"1862","BD56-1682",NA,"F1",NA
"1863","BD56-1683",NA,"F1",NA
"1864","BD56-1684",NA,"A",NA
"1865","BD56-1685",NA,"E3",NA
"1866","BD56-1686",NA,"F1",NA
"1867","BD56-1687",NA,"F2",NA
"1868","BD56-1688",NA,"A",NA
"1869","BD56-1689",NA,"E2.2",NA
"1870","BD56-169",NA,"E2.2",NA
"1871","BD56-1690",NA,"E2.2",NA
"1872","BD56-1691",NA,"E2.1",NA
"1873","BD56-1692",NA,"E2.1",NA
"1874","BD56-1693",NA,"E2.1",NA
"1875","BD56-1694",NA,"E2.2",NA
"1876","BD56-1695",NA,"E2.2",NA
"1877","BD56-1696",NA,"F1",NA
"1878","BD56-1697",NA,"B",NA
"1879","BD56-1698",NA,"E2.2",NA
"1880","BD56-1699",NA,"E2.2",NA
"1881","BD56-170",NA,"E2.2",NA
"1882","BD56-1700",NA,"F1",NA
"1883","BD56-1701",NA,"E2.2",NA
"1884","BD56-1702",NA,"F1",NA
"1885","BD56-1703",NA,"F1",NA
"1886","BD56-1705",NA,"E2.2",NA
"1887","BD56-1706",NA,"E2.2",NA
"1888","BD56-1707",NA,"E2.2",NA
"1889","BD56-1708",NA,"E2.2",NA
"1890","BD56-1709",NA,"E2.1",NA
"1891","BD56-171",NA,"E3",NA
"1892","BD56-1710",NA,"E2.2",NA
"1893","BD56-1711",NA,"E2.2",NA
"1894","BD56-1712",NA,"C",NA
"1895","BD56-1713",NA,"F1",NA
"1896","BD56-1714",NA,"E2.1",NA
"1897","BD56-1715",NA,"F1",NA
"1898","BD56-1716",NA,"E2.1",NA
"1899","BD56-1717",NA,"B",NA
"1900","BD56-1718",NA,"F1",NA
"1901","BD56-1719",NA,"E2.2",NA
"1902","BD56-172",NA,"E2.2",NA
"1903","BD56-1720",NA,"F1",NA
"1904","BD56-1721",NA,"E2.2",NA
"1905","BD56-1722",NA,"E2.2",NA
"1906","BD56-1723",NA,"E2.2",NA
"1907","BD56-1724",NA,"E2.2",NA
"1908","BD56-1725",NA,"E2.2",NA
"1909","BD56-1726",NA,"F1",NA
"1910","BD56-1727",NA,"D2",NA
"1911","BD56-1728",NA,"E2.2",NA
"1912","BD56-1729",NA,"E2.1",NA
"1913","BD56-173",NA,"E3",NA
"1914","BD56-1730",NA,"E2.1",NA
"1915","BD56-1731",NA,"F1",NA
"1916","BD56-1732",NA,"F2",NA
"1917","BD56-1733",NA,"E2.2",NA
"1918","BD56-1734",NA,"F1",NA
"1919","BD56-1735",NA,"E2.2",NA
"1920","BD56-1736",NA,"D1",NA
"1921","BD56-1737",NA,"E2.2",NA
"1922","BD56-1738",NA,"F1",NA
"1923","BD56-1739",NA,"D1",NA
"1924","BD56-174",NA,"E3",NA
"1925","BD56-1740",NA,"E2.1",NA
"1926","BD56-1741",NA,"F1",NA
"1927","BD56-1742",NA,"C",NA
"1928","BD56-1743",NA,"A",NA
"1929","BD56-1744",NA,"E2.2",NA
"1930","BD56-1745",NA,"E3",NA
"1931","BD56-1746",NA,"F1",NA
"1932","BD56-1747",NA,"E2.2",NA
"1933","BD56-1748",NA,"F1",NA
"1934","BD56-1749",NA,"E2.1",NA
"1935","BD56-175",NA,"E3",NA
"1936","BD56-1750",NA,"F1",NA
"1937","BD56-1751",NA,"E2.2",NA
"1938","BD56-1752",NA,"E2.2",NA
"1939","BD56-1753",NA,"F1",NA
"1940","BD56-1754",NA,"C",NA
"1941","BD56-1755",NA,"E2.2",NA
"1942","BD56-1756",NA,"D1",NA
"1943","BD56-1757",NA,"E2.1",NA
"1944","BD56-1758",NA,"F1",NA
"1945","BD56-1759",NA,"D1",NA
"1946","BD56-1760",NA,"E1",NA
"1947","BD56-1761",NA,"D1",NA
"1948","BD56-1762",NA,"E2.1",NA
"1949","BD56-1763",NA,"D1",NA
"1950","BD56-1764",NA,"E2.2",NA
"1951","BD56-1765",NA,"E2.2",NA
"1952","BD56-1766",NA,"F1",NA
"1953","BD56-1767",NA,"F1",NA
"1954","BD56-1768",NA,"E2.2",NA
"1955","BD56-1769",NA,"D1",NA
"1956","BD56-177",NA,"E2.2",NA
"1957","BD56-1770",NA,"C",NA
"1958","BD56-1771",NA,"F1",NA
"1959","BD56-1772",NA,"E2.2",NA
"1960","BD56-1773",NA,"F1",NA
"1961","BD56-1774",NA,"F1",NA
"1962","BD56-1775",NA,"B",NA
"1963","BD56-1776",NA,"B",NA
"1964","BD56-1777",NA,"C",NA
"1965","BD56-1778",NA,"F1",NA
"1966","BD56-1779",NA,"E2.1",NA
"1967","BD56-178",NA,"E3",NA
"1968","BD56-1780",NA,"B",NA
"1969","BD56-1781",NA,"E2.1",NA
"1970","BD56-1782",NA,"E2.2",NA
"1971","BD56-1783",NA,"E2.2",NA
"1972","BD56-1784",NA,"D1",NA
"1973","BD56-1785",NA,"E2.1",NA
"1974","BD56-1786",NA,"F2",NA
"1975","BD56-1787",NA,"B",NA
"1976","BD56-1789",NA,"E2.2",NA
"1977","BD56-179",NA,"E2.2",NA
"1978","BD56-1790",NA,"E2.1",NA
"1979","BD56-1791",NA,"D1",NA
"1980","BD56-1793",NA,"E2.1",NA
"1981","BD56-1794",NA,"E2.2",NA
"1982","BD56-1795",NA,"E2.2",NA
"1983","BD56-1796",NA,"E2.2",NA
"1984","BD56-1797",NA,"D2",NA
"1985","BD56-1798",NA,"E1",NA
"1986","BD56-180",NA,"E3",NA
"1987","BD56-1800",NA,"E2.1",NA
"1988","BD56-1801",NA,"F1",NA
"1989","BD56-1802",NA,"C",NA
"1990","BD56-1803",NA,"E2.1",NA
"1991","BD56-1804",NA,"F1",NA
"1992","BD56-1805",NA,"E2.2",NA
"1993","BD56-1806",NA,"F1",NA
"1994","BD56-1807",NA,"E2.2",NA
"1995","BD56-1808",NA,"E2.2",NA
"1996","BD56-1809",NA,"C",NA
"1997","BD56-181",NA,"E2.2",NA
"1998","BD56-1810",NA,"F1",NA
"1999","BD56-1811",NA,"D1",NA
"2000","BD56-1812",NA,"F1",NA
"2001","BD56-1813",NA,"E2.2",NA
"2002","BD56-1814",NA,"E1",NA
"2003","BD56-1815",NA,"B",NA
"2004","BD56-1816",NA,"F1",NA
"2005","BD56-1817",NA,"C",NA
"2006","BD56-1818",NA,"C",NA
"2007","BD56-1819",NA,"E2.2",NA
